simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
6114421,-0.07,100,100,75,100,50,100,125,12.2071,12.16226,15.87274664,15.90123741,0.7345717,0.2486438,0.4132731,0.5882175
6115477,-0.065,175,150,150,100,50,100,125,27.01,25.29725,19.08325257,19.06841685,0.4720104,0.456935,0.5901037,0.4473158
6116981,-0.07,100,100,75,125,50,100,125,12.87577,12.82058,15.19020996,15.60870697,0.2437001,0.736039,0.4126151,0.5898038
6117391,-0.07,150,150,100,125,50,100,125,15.29554,15.2906,19.47905697,19.29298277,0.2143952,0.7785277,0.5623618,0.4378192
6117992,-0.065,150,125,150,125,50,100,125,16.02186,16.02599,15.21129439,14.5078718,0.2099514,0.7760162,0.5808575,0.4189897
6118357,-0.065,175,150,175,125,50,100,125,10.62522,10.63697,15.37631277,16.69449082,0.2744398,0.7123569,0.44207,0.5575974
6119951,-0.07,150,150,100,150,50,100,125,16.0944,16.0995,19.73539946,18.8563378,0.2346347,0.7650391,0.4425944,0.5572913
6120917,-0.065,175,150,175,150,50,100,125,11.40799,11.40613,15.66083333,16.51948246,0.2696961,0.7145711,0.5613021,0.4387881
6122101,-0.07,100,100,75,175,50,100,125,13.17206,13.20826,15.98147591,14.98998558,0.3349994,0.6583311,0.4365439,0.5623345
6123477,-0.065,175,150,175,175,50,100,125,11.47058,11.50449,16.23417855,16.65120569,0.29374,0.6848352,0.5556855,0.4426445
6126816,-0.07,75,50,50,25,75,100,125,21.1899,24.56915,25.97832182,25.45933241,0.6173743,0.5536211,0.321226,0.6275466
6130106,-0.07,125,100,100,50,75,100,125,13.27085,13.29999,20.58178988,20.8452555,0.3191819,0.6748201,0.4401183,0.5589433
6130198,-0.06,175,150,100,50,75,100,125,23.45505,26.3291,35.40650288,35.04153753,0.3611802,0.7776225,0.3314583,0.6279266
6137461,-0.07,100,100,75,125,75,100,125,13.862,13.86718,17.46393249,16.52142142,0.3492556,0.6416548,0.559345,0.4404453
6139051,-0.07,50,100,0,150,75,100,125,24.17145,22.8556,18.63035398,18.28549038,0.4437632,0.4966048,0.5728268,0.4583569
6139052,-0.065,50,100,0,150,75,100,125,24.17145,22.8556,18.63035398,18.28549038,0.4437632,0.4966048,0.5728268,0.4583569
6139053,-0.06,50,100,0,150,75,100,125,24.17145,22.8556,18.63035398,18.28549038,0.4437632,0.4966048,0.5728268,0.4583569
6139054,-0.055,50,100,0,150,75,100,125,24.17145,22.8556,18.63035398,18.28549038,0.4437632,0.4966048,0.5728268,0.4583569
6139055,-0.05,50,100,0,150,75,100,125,24.17145,22.8556,18.63035398,18.28549038,0.4437632,0.4966048,0.5728268,0.4583569
6140796,-0.07,175,175,125,150,75,100,125,12.61021,12.67895,21.57495723,20.49886634,0.7001235,0.2947235,0.5524931,0.4446341
6149990,-0.05,125,125,50,50,100,100,125,30.60145,28.4153,35.59429635,34.0895354,0.3512285,0.6721273,0.5946743,0.4478088
6157575,-0.05,50,75,50,125,100,100,125,28.0595,26.54745,18.74784535,18.6017783,0.4548299,0.4819333,0.573234,0.4576561
6175217,-0.065,75,100,25,100,125,100,125,28.75855,26.9498,22.96822729,23.36551603,0.4659971,0.4894619,0.5742659,0.4618522
6191317,-0.065,175,150,75,50,150,100,125,32.638,23.87355,38.36409265,38.71298071,0.5042405,0.6692511,0.6866092,0.4977695
6191869,-0.055,125,100,125,50,150,100,125,25.99845,7.65325,31.97014081,32.94117647,0.5054955,0.00636331,0.5723059,0.8315284
6222631,-0.07,150,125,125,150,175,100,125,26.8126,25.763,24.45196547,24.03084602,0.4865623,0.4761363,0.5564026,0.4653782
6255502,-0.065,100,75,100,75,25,100,150,14.04782,14.23375,13.33611479,14.1505826,0.7552625,0.2208668,0.4417341,0.5524146
6255546,-0.07,125,100,100,75,25,100,150,15.74267,15.72847,14.5390985,16.40323287,0.7888394,0.1972951,0.436069,0.5643243
6258427,-0.065,125,100,125,100,25,100,150,16.2429,16.28245,13.82745814,12.51484494,0.1725771,0.8185419,0.4324963,0.566574
6262901,-0.07,100,100,75,150,25,100,150,9.289313,9.29045,14.15586755,13.61694493,0.7147394,0.2687397,0.4402464,0.5596997
6265226,-0.07,125,150,50,175,25,100,150,27.4176,28.9552,20.80368688,20.67884346,0.5117115,0.5603449,0.4240378,0.5521818
6266472,-0.065,150,125,150,175,25,100,150,16.34877,16.3337,13.99356113,12.54891266,0.1674538,0.8164165,0.4368423,0.5635946
6279272,-0.065,150,125,150,100,50,100,150,10.46616,10.48329,15.88146651,17.19991237,0.2648381,0.7218711,0.4348968,0.5644319
6280821,-0.07,100,100,75,125,50,100,150,12.1155,12.19442,15.68553519,16.1846459,0.2327141,0.7604994,0.3949202,0.6029382
6281276,-0.07,175,175,100,125,50,100,150,18.90555,18.51633,22.91568804,24.03074174,0.8449729,0.1734658,0.4548396,0.5542916
6281832,-0.065,150,125,150,125,50,100,150,14.87995,14.93431,15.22754802,15.08320736,0.1966887,0.8007508,0.4059406,0.5941938
6282072,-0.065,150,75,175,125,50,100,150,28.8316,27.5096,19.42902312,19.23426637,0.4690305,0.4896,0.5565657,0.4689542
6282692,-0.065,50,75,25,150,50,100,150,28.64885,27.1682,13.47049995,13.64474314,0.4694394,0.4961573,0.5590948,0.4698007
6283381,-0.07,100,100,75,150,50,100,150,12.45077,12.46427,16.13872336,16.22661913,0.2393137,0.7419021,0.4051029,0.5944955
6283791,-0.07,150,150,100,150,50,100,150,15.632,15.62928,19.64827168,19.24147564,0.2145985,0.7880742,0.5651038,0.4349745
6284757,-0.065,175,150,175,150,50,100,150,10.29411,10.29794,16.03867152,17.2777104,0.2732596,0.715208,0.5582909,0.4415023
6285941,-0.07,100,100,75,175,50,100,150,12.53314,12.55411,16.82418046,16.08612672,0.282947,0.6992616,0.4176994,0.5816178
6286952,-0.065,150,125,150,175,50,100,150,16.98377,16.73222,15.85491363,14.52736865,0.2146125,0.7735667,0.4365019,0.5701783
6299797,-0.065,175,150,150,100,75,100,150,27.5988,28.523,19.49572985,19.37123639,0.5037647,0.5429864,0.4489728,0.5359925
6301711,-0.07,150,150,100,125,75,100,150,12.78916,12.79074,21.89014607,22.35782625,0.2956292,0.7010234,0.551548,0.4483836
6312556,-0.07,175,125,150,25,100,100,150,12.28172,12.26776,26.76008389,25.81526897,0.6749538,0.321989,0.5574266,0.4432096
6313373,-0.06,50,50,25,50,100,100,150,7.58715,30.2835,28.09183822,24.8879723,0.008738459,0.4605643,-0.5205376,3.077684
